filename,depth,area_pixels
MASK_Sk658 Llobe ch010040.jpg,380,500670
MASK_SK658 Slobe ch010096.jpg,9400,63081
MASK_Sk658 Llobe ch010030.jpg,200,0
MASK_SK658 Slobe ch010147.jpg,3000,529614
MASK_SK658 Slobe ch010146.jpg,2000,148704
MASK_Sk658 Llobe ch010031.jpg,955,0
MASK_SK658 Slobe ch010140.jpg,8300,183087
MASK_Sk658 Llobe ch010021.jpg,30,344922
MASK_Sk658 Llobe ch010168.jpg,6000,0
MASK_Sk658 Llobe ch010017.jpg,45,0
MASK_Sk658 Llobe ch010160.jpg,7200,292608
MASK_SK658 Slobe ch010111.jpg,8600,266274
