filename,depth,white_percent_w_area,white_percent
MASK_SK658 Slobe ch010048.jpg,540,1.2838768405905456,1.179957389831543
MASK_Sk658 Llobe ch010061.jpg,585,1.3934782738515867,1.3352155685424805
MASK_SK658 Slobe ch010103.jpg,9600,4.841087891095949,4.619193077087402
MASK_SK658 Slobe ch010063.jpg,7400,2.9424626984264117,2.882719039916992
MASK_SK658 Slobe ch010113.jpg,7300,2.8936325030266152,2.8595447540283203
MASK_Sk658 Llobe ch010071.jpg,7100,2.990404528422632,2.8075218200683594
MASK_Sk658 Llobe ch010067.jpg,1500,1.5368486685463814,1.4903068542480469
MASK_SK658 Slobe ch010104.jpg,9700,6.901451269335926,4.860329627990723
MASK_SK658 Slobe ch010111.jpg,8600,3.832862783634545,3.5895347595214844
MASK_Sk658 Llobe ch010160.jpg,7200,3.0348084525293615,2.8230905532836914
MASK_Sk658 Llobe ch010017.jpg,45,0.6571054458618164,0.6571054458618164
MASK_Sk658 Llobe ch010168.jpg,6000,2.3686885833740234,2.3686885833740234
MASK_Sk658 Llobe ch010021.jpg,30,0.6208788839351356,0.5698204040527344
MASK_SK658 Slobe ch010140.jpg,8300,3.485675295053845,3.3335208892822266
MASK_Sk658 Llobe ch010031.jpg,955,1.4283180236816406,1.4283180236816406
MASK_SK658 Slobe ch010146.jpg,2000,1.555096895392525,1.4999628067016602
MASK_SK658 Slobe ch010147.jpg,3000,2.197566506307491,1.9200801849365234
MASK_Sk658 Llobe ch010030.jpg,200,0.9011983871459961,0.9011983871459961
MASK_SK658 Slobe ch010096.jpg,9400,4.354497445429598,4.289007186889648
MASK_Sk658 Llobe ch010040.jpg,380,1.1355483515692135,0.9999990463256836
MASK_Sk658 Llobe ch010040.jpg,380,1.1275933598803343,0.9999990463256836
