filename,depth,white_percent
MASK_SK658 Slobe ch010129.jpg,3250,1.973724365234375
MASK_SK658 Slobe ch010115.jpg,8800,3.6032676696777344
MASK_SK658 Slobe ch010114.jpg,9900,5.777835845947266
MASK_SK658 Slobe ch010060.jpg,8400,3.3941030502319336
MASK_SK658 Slobe ch010048.jpg,540,1.179957389831543
MASK_SK658 Slobe ch010089.jpg,10000,8.81803035736084
MASK_Sk658 Llobe ch010061.jpg,585,1.3352155685424805
MASK_SK658 Slobe ch010103.jpg,9600,4.619193077087402
MASK_SK658 Slobe ch010077.jpg,5900,2.363467216491699
MASK_SK658 Slobe ch010063.jpg,7400,2.882719039916992
MASK_SK658 Slobe ch010088.jpg,8200,3.3271074295043945
MASK_SK658 Slobe ch010098.jpg,10000,9.142851829528809
MASK_SK658 Slobe ch010113.jpg,7300,2.8595447540283203
MASK_SK658 Slobe ch010107.jpg,6300,2.389812469482422
MASK_SK658 Slobe ch010112.jpg,5500,2.3134231567382812
MASK_SK658 Slobe ch010066.jpg,1000,1.4475584030151367
MASK_Sk658 Llobe ch010065.jpg,3900,2.0015478134155273
MASK_Sk658 Llobe ch010071.jpg,7100,2.8075218200683594
MASK_Sk658 Llobe ch010067.jpg,1500,1.4903068542480469
MASK_SK658 Slobe ch010104.jpg,9700,4.860329627990723
MASK_SK658 Slobe ch010110.jpg,5300,2.289104461669922
MASK_SK658 Slobe ch010111.jpg,8600,3.5895347595214844
MASK_SK658 Slobe ch010105.jpg,8100,3.2827377319335938
MASK_SK658 Slobe ch010059.jpg,7700,3.090071678161621
MASK_Sk658 Llobe ch010149.jpg,7500,2.976250648498535
MASK_Sk658 Llobe ch010160.jpg,7200,2.8230905532836914
MASK_Sk658 Llobe ch010174.jpg,3100,1.9315242767333984
MASK_SK658 Slobe ch010149.jpg,3350,1.9887924194335938
MASK_Sk658 Llobe ch010017.jpg,45,0.6571054458618164
MASK_SK658 Slobe ch010158.jpg,920,1.4254570007324219
MASK_SK658 Slobe ch010159.jpg,860,1.4168262481689453
MASK_Sk658 Llobe ch010164.jpg,2200,1.5502214431762695
MASK_Sk658 Llobe ch010159.jpg,7600,3.064560890197754
MASK_Sk658 Llobe ch010171.jpg,810,1.3716459274291992
MASK_Sk658 Llobe ch010039.jpg,15,0.5161285400390625
MASK_Sk658 Llobe ch010034.jpg,6600,2.4147748947143555
MASK_Sk658 Llobe ch010168.jpg,6000,2.3686885833740234
MASK_SK658 Slobe ch010143.jpg,2600,1.6859769821166992
MASK_SK658 Slobe ch010157.jpg,750,1.3451337814331055
MASK_SK658 Slobe ch010156.jpg,330,0.9076118469238281
MASK_SK658 Slobe ch010142.jpg,7100,2.7759552001953125
MASK_Sk658 Llobe ch010035.jpg,780,1.3478755950927734
MASK_Sk658 Llobe ch010021.jpg,30,0.5698204040527344
MASK_Sk658 Llobe ch010023.jpg,100,0.8942604064941406
MASK_SK658 Slobe ch010140.jpg,8300,3.3335208892822266
MASK_Sk658 Llobe ch010022.jpg,80,0.7903814315795898
MASK_Sk658 Llobe ch010036.jpg,55,0.707554817199707
MASK_Sk658 Llobe ch010032.jpg,500,1.1603116989135742
MASK_Sk658 Llobe ch010026.jpg,2800,1.7457962036132812
MASK_Sk658 Llobe ch010146.jpg,8500,3.476834297180176
MASK_Sk658 Llobe ch010033.jpg,2950,1.8257856369018555
MASK_Sk658 Llobe ch010025.jpg,570,1.216888427734375
MASK_Sk658 Llobe ch010031.jpg,955,1.4283180236816406
MASK_Sk658 Llobe ch010019.jpg,60,0.7469892501831055
MASK_SK658 Slobe ch010146.jpg,2000,1.4999628067016602
MASK_SK658 Slobe ch010147.jpg,3000,1.9200801849365234
MASK_Sk658 Llobe ch010018.jpg,90,0.8045673370361328
MASK_Sk658 Llobe ch010030.jpg,200,0.9011983871459961
MASK_Sk658 Llobe ch010024.jpg,600,1.3437271118164062
MASK_SK658 Slobe ch010097.jpg,9900,5.276250839233398
MASK_SK658 Slobe ch010083.jpg,2400,1.5648126602172852
MASK_SK658 Slobe ch010068.jpg,9800,5.120587348937988
MASK_SK658 Slobe ch010134.jpg,4500,2.185177803039551
MASK_SK658 Slobe ch010135.jpg,9500,4.436445236206055
MASK_SK658 Slobe ch010096.jpg,9400,4.289007186889648
MASK_Sk658 Llobe ch010040.jpg,380,0.9999990463256836
MASK_SK658 Slobe ch010136.jpg,9200,3.9014339447021484
MASK_Sk658 Llobe ch010121.jpg,9000,3.8411855697631836
MASK_Sk658 Llobe ch010051.jpg,400,1.035308837890625
MASK_SK658 Slobe ch010126.jpg,6800,2.43985652923584
MASK_SK658 Slobe ch010092.jpg,10000,7.841372489929199
MASK_SK658 Slobe ch010086.jpg,6900,2.4694442749023438
MASK_SK658 Slobe ch010119.jpg,8000,3.2804489135742188
MASK_SK658 Slobe ch010118.jpg,9900,5.657410621643066
MASK_SK658 Slobe ch010130.jpg,7000,2.684903144836426
MASK_SK658 Slobe ch010078.jpg,4700,2.1996498107910156
MASK_SK658 Slobe ch010087.jpg,8000,3.6959409713745117
MASK_SK658 Slobe ch010093.jpg,9300,4.027652740478516
